"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-01","2023","01","01","","1.0","","-2.5","","-0.8","","18.8","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-02","2023","01","02","","-0.2","","-2.3","","-1.3","","19.3","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-03","2023","01","03","","-1.8","","-4.4","","-3.1","","21.1","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-04","2023","01","04","","-0.6","","-10.3","","-5.5","","23.5","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-05","2023","01","05","","-2.7","","-12.3","","-7.5","","25.5","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-06","2023","01","06","","-0.7","","-4.8","","-2.8","","20.8","","0.0","","","","","","0.2","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-07","2023","01","07","","-0.3","","-3.6","","-2.0","","20.0","","0.0","","","","","","0.6","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-08","2023","01","08","","0.5","","-0.9","","-0.2","","18.2","","0.0","","","","","","6.4","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-09","2023","01","09","","1.9","","0.0","","1.0","","17.0","","0.0","","","","","","2.7","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-10","2023","01","10","","2.5","","0.0","","1.3","","16.7","","0.0","","","","","","0.2","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-11","2023","01","11","","1.1","","-1.2","","-0.1","","18.1","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-12","2023","01","12","","0.7","","-1.3","","-0.3","","18.3","","0.0","","","","","","18.1","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-13","2023","01","13","","0.2","","-0.1","","0.1","","17.9","","0.0","","","","","","34.4","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-14","2023","01","14","","1.0","","-0.1","","0.5","","17.5","","0.0","","","","","","1.1","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-15","2023","01","15","","1.5","","0.0","","0.8","","17.2","","0.0","","","","","","0.6","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-16","2023","01","16","","2.3","","0.3","","1.3","","16.7","","0.0","","","","","","0.6","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-17","2023","01","17","","2.1","","0.3","","1.2","","16.8","","0.0","","","","","","0.9","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-18","2023","01","18","","3.4","","0.7","","2.1","","15.9","","0.0","","","","","","1.1","","","","15","","42",""
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-19","2023","01","19","","4.5","","-2.7","","0.9","","17.1","","0.0","","","","","","1.7","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-20","2023","01","20","","1.1","","-2.5","","-0.7","","18.7","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-21","2023","01","21","","1.7","","-2.8","","-0.6","","18.6","","0.0","","","","","","0.2","","","","15","","46",""
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-22","2023","01","22","","3.5","","-3.8","","-0.2","","18.2","","0.0","","","","","","0.2","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-23","2023","01","23","","-0.4","","-3.0","","-1.7","","19.7","","0.0","","","","","","1.4","","","","15","","32",""
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-24","2023","01","24","","0.0","","-3.3","","-1.7","","19.7","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-25","2023","01","25","","1.3","","-2.7","","-0.7","","18.7","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-26","2023","01","26","","2.0","","-0.7","","0.7","","17.3","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-27","2023","01","27","","3.5","","-0.4","","1.6","","16.4","","0.0","","","","","","2.1","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-28","2023","01","28","","1.4","","-7.6","","-3.1","","21.1","","0.0","","","","","","0.0","","","","1","","48",""
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-29","2023","01","29","","-6.0","","-12.7","","-9.4","","27.4","","0.0","","","","","","0.0","","","","34","","42",""
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-30","2023","01","30","","-9.4","","-17.3","","-13.4","","31.4","","0.0","","","","","","1.1","","","","35","","35",""
"-118.18","50.97","REVELSTOKE A","1176745","2023-01-31","2023","01","31","","-5.6","","-10.2","","-7.9","","25.9","","0.0","","","","","","1.4","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-01","2023","02","01","","-3.7","","-6.9","","-5.3","","23.3","","0.0","","","","","","2.3","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-02","2023","02","02","","-0.8","","-5.2","","-3.0","","21.0","","0.0","","","","","","2.8","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-03","2023","02","03","","-0.1","","-3.5","","-1.8","","19.8","","0.0","","","","","","0.9","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-04","2023","02","04","","2.1","","-0.6","","0.8","","17.2","","0.0","","","","","","5.3","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-05","2023","02","05","","1.9","","-0.1","","0.9","","17.1","","0.0","","","","","","2.8","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-06","2023","02","06","","2.7","","0.1","","1.4","","16.6","","0.0","","","","","","1.3","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-07","2023","02","07","","4.7","","1.4","","3.1","","14.9","","0.0","","","","","","1.7","","","","18","","54",""
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-08","2023","02","08","","3.7","","-4.7","","-0.5","","18.5","","0.0","","","","","","1.0","","","","34","","45",""
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-09","2023","02","09","","1.7","","-3.3","","-0.8","","18.8","","0.0","","","","","","0.4","","","","14","","37",""
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-10","2023","02","10","","2.8","","0.3","","1.6","","16.4","","0.0","","","","","","0.0","","","","13","","37",""
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-11","2023","02","11","","2.3","","-0.4","","1.0","","17.0","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-12","2023","02","12","","1.9","","-0.6","","0.7","","17.3","","0.0","","","","","","0.9","","","","12","","50",""
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-13","2023","02","13","","4.4","","-0.9","","1.8","","16.2","","0.0","","","","","","2.1","","","","19","","42",""
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-14","2023","02","14","","6.1","","-1.8","","2.2","","15.8","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-15","2023","02","15","","1.1","","-7.1","","-3.0","","21.0","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-16","2023","02","16","","0.1","","-3.5","","-1.7","","19.7","","0.0","","","","","","1.9","","","","17","","42",""
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-17","2023","02","17","","1.5","","-2.1","","-0.3","","18.3","","0.0","","","","","","1.8","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-18","2023","02","18","","2.7","","-1.1","","0.8","","17.2","","0.0","","","","","","3.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-19","2023","02","19","","0.6","","-0.8","","-0.1","","18.1","","0.0","","","","","","11.8","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-20","2023","02","20","","2.0","","-0.6","","0.7","","17.3","","0.0","","","","","","8.3","","","","14","","33",""
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-21","2023","02","21","","1.2","","-3.8","","-1.3","","19.3","","0.0","","","","","","2.9","","","","2","","55",""
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-22","2023","02","22","","-3.7","","-10.6","","-7.2","","25.2","","0.0","","","","","","0.0","","","","6","","45",""
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-23","2023","02","23","","-5.9","","-12.7","","-9.3","","27.3","","0.0","","","","","","0.0","","","","32","","39",""
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-24","2023","02","24","","-8.3","","-19.1","","-13.7","","31.7","","0.0","","","","","","0.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-25","2023","02","25","","-5.8","","-10.8","","-8.3","","26.3","","0.0","","","","","","6.9","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-26","2023","02","26","","-3.4","","-7.3","","-5.4","","23.4","","0.0","","","","","","26.0","","","","","M","","M"
"-118.18","50.97","REVELSTOKE A","1176745","2023-02-27","2023","02","27","","-0.2","","-6.5","","-3.4","","21.4","","0.0","","","","","","0.0","","","","","M","","M"
