"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-01","2022","01","01","","0.5","","-9.1","","-4.3","","22.3","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-02","2022","01","02","","1.8","","-1.1","","0.4","","17.6","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-03","2022","01","03","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-04","2022","01","04","","-13.6","","-15.7","","-14.7","","32.7","","0.0","","","","","","","M","","","11","","50",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-05","2022","01","05","","-13.6","","-17.1","","-15.4","","33.4","","0.0","","","","","","","M","","","6","","43",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-06","2022","01","06","","-12.7","","-16.0","","-14.4","","32.4","","0.0","","","","","","","M","","","13","","44",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-07","2022","01","07","","-11.8","","-14.4","","-13.1","","31.1","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-08","2022","01","08","","-5.0","","-12.5","","-8.8","","26.8","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-09","2022","01","09","","-1.3","","-7.8","","-4.6","","22.6","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-10","2022","01","10","","1.4","","-6.5","","-2.6","","20.6","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-11","2022","01","11","","7.1","","0.3","","3.7","","14.3","","0.0","","","","","","","M","","","29","","40",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-12","2022","01","12","","2.5","","0.5","","1.5","","16.5","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-13","2022","01","13","","4.3","","-0.9","","1.7","","16.3","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-14","2022","01","14","","5.4","","-0.8","","2.3","","15.7","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-15","2022","01","15","","6.9","","1.4","","4.2","","13.8","","0.0","","","","","","","M","","","28","","45",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-16","2022","01","16","","2.1","","0.5","","1.3","","16.7","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-17","2022","01","17","","7.2","","0.7","","4.0","","14.0","","0.0","","","","","","","M","","","27","","40",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-18","2022","01","18","","5.4","","-1.6","","1.9","","16.1","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-19","2022","01","19","","4.4","","-1.3","","1.6","","16.4","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-20","2022","01","20","","7.7","","0.6","","4.2","","13.8","","0.0","","","","","","","M","","","23","","43",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-21","2022","01","21","","5.8","","-1.2","","2.3","","15.7","","0.0","","","","","","","M","","","26","","37",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-22","2022","01","22","","3.8","","-2.2","","0.8","","17.2","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-23","2022","01","23","","3.2","","-2.3","","0.5","","17.5","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-24","2022","01","24","","4.1","","-3.2","","0.5","","17.5","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-25","2022","01","25","","2.5","","-4.0","","-0.8","","18.8","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-26","2022","01","26","","3.9","","-6.2","","-1.2","","19.2","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-27","2022","01","27","","1.9","","-7.3","","-2.7","","20.7","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-28","2022","01","28","","2.8","","-5.6","","-1.4","","19.4","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-29","2022","01","29","","1.8","","-0.4","","0.7","","17.3","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-30","2022","01","30","","5.5","","0.5","","3.0","","15.0","","0.0","","","","","","","M","","","25","","53",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-01-31","2022","01","31","","3.9","","-0.3","","1.8","","16.2","","0.0","","","","","","","M","","","22","","33",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-01","2022","02","01","","4.4","","-0.7","","1.9","","16.1","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-02","2022","02","02","","-0.3","","-4.0","","-2.2","","20.2","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-03","2022","02","03","","2.5","","-2.1","","0.2","","17.8","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-04","2022","02","04","","6.8","","1.0","","3.9","","14.1","","0.0","","","","","","","M","","","24","","48",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-05","2022","02","05","","6.9","","1.8","","4.4","","13.6","","0.0","","","","","","","M","","","21","","48",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-06","2022","02","06","","9.9","","2.7","","6.3","","11.7","","0.0","","","","","","","M","","","25","","60",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-07","2022","02","07","","8.8","","3.7","","6.3","","11.7","","0.0","","","","","","","M","","","23","","48",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-08","2022","02","08","","6.9","","4.1","","5.5","","12.5","","0.0","","","","","","","M","","","28","","47",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-09","2022","02","09","","9.8","","6.2","","8.0","","10.0","","0.0","","","","","","","M","","","27","","59",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-10","2022","02","10","","10.7","","-0.2","","5.3","","12.7","","0.0","","","","","","","M","","","23","","50",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-11","2022","02","11","","7.1","","-2.5","","2.3","","15.7","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-12","2022","02","12","","8.6","","-3.7","","2.5","","15.5","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-13","2022","02","13","","9.1","","-1.3","","3.9","","14.1","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-14","2022","02","14","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-15","2022","02","15","","8.5","","-2.8","","2.9","","15.1","","0.0","","","","","","","M","","","27","","50",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-16","2022","02","16","","8.2","","-2.1","","3.1","","14.9","","0.0","","","","","","","M","","","26","","37",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-17","2022","02","17","","8.5","","5.6","","7.1","","10.9","","0.0","","","","","","","M","","","26","","59",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-18","2022","02","18","","10.1","","6.3","","8.2","","9.8","","0.0","","","","","","","M","","","24","","55",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-19","2022","02","19","","7.5","","3.4","","5.5","","12.5","","0.0","","","","","","","M","","","25","","51",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-20","2022","02","20","","7.3","","0.1","","3.7","","14.3","","0.0","","","","","","","M","","","14","","39",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-21","2022","02","21","","0.5","","-9.0","","-4.3","","22.3","","0.0","","","","","","","M","","","7","","69",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-22","2022","02","22","","-1.1","","-9.4","","-5.3","","23.3","","0.0","","","","","","","M","","","7","","59",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-23","2022","02","23","","-3.0","","-5.4","","-4.2","","22.2","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-24","2022","02","24","","2.9","","-10.9","","-4.0","","22.0","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-25","2022","02","25","","5.7","","-5.7","","0.0","","18.0","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-26","2022","02","26","","5.1","","-3.4","","0.9","","17.1","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-27","2022","02","27","","8.1","","0.3","","4.2","","13.8","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-02-28","2022","02","28","","8.2","","0.1","","4.2","","13.8","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-01","2022","03","01","","8.8","","1.0","","4.9","","13.1","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-02","2022","03","02","","10.0","","2.7","","6.4","","11.6","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-03","2022","03","03","","9.6","","3.0","","6.3","","11.7","","0.0","","","","","","","M","","","26","","34",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-04","2022","03","04","","10.3","","-0.5","","4.9","","13.1","","0.0","","","","","","","M","","","27","","35",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-05","2022","03","05","","9.0","","-2.2","","3.4","","14.6","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-06","2022","03","06","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-07","2022","03","07","","7.6","","-1.4","","3.1","","14.9","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-08","2022","03","08","","10.6","","-0.8","","4.9","","13.1","","0.0","","","","","","","M","","","6","","36",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-09","2022","03","09","","8.7","","-3.0","","2.9","","15.1","","0.0","","","","","","","M","","","7","","44",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-10","2022","03","10","","7.0","","-3.0","","2.0","","16.0","","0.0","","","","","","","M","","","26","","36",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-11","2022","03","11","","6.1","","0.1","","3.1","","14.9","","0.0","","","","","","","M","","","27","","37",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-12","2022","03","12","","9.9","","1.5","","5.7","","12.3","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-13","2022","03","13","","8.6","","-1.2","","3.7","","14.3","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-14","2022","03","14","","11.8","","3.8","","7.8","","10.2","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-15","2022","03","15","","8.2","","4.1","","6.2","","11.8","","0.0","","","","","","","M","","","26","","43",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-16","2022","03","16","","12.2","","5.3","","8.8","","9.2","","0.0","","","","","","","M","","","28","","43",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-17","2022","03","17","","11.1","","4.5","","7.8","","10.2","","0.0","","","","","","","M","","","25","","46",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-18","2022","03","18","","8.7","","1.7","","5.2","","12.8","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-19","2022","03","19","","9.3","","2.1","","5.7","","12.3","","0.0","","","","","","","M","","","22","","44",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-20","2022","03","20","","5.3","","1.7","","3.5","","14.5","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-21","2022","03","21","","10.7","","0.7","","5.7","","12.3","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-22","2022","03","22","","16.7","","6.0","","11.4","","6.6","","0.0","","","","","","","M","","","23","","45",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-23","2022","03","23","","12.6","","2.6","","7.6","","10.4","","0.0","","","","","","","M","","","26","","59",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-24","2022","03","24","","12.0","","-2.3","","4.9","","13.1","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-25","2022","03","25","","12.4","","1.9","","7.2","","10.8","","0.0","","","","","","","M","","","26","","31",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-26","2022","03","26","","9.2","","2.9","","6.1","","11.9","","0.0","","","","","","","M","","","26","","35",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-27","2022","03","27","","12.8","","3.3","","8.1","","9.9","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-28","2022","03","28","","16.7","","0.2","","8.5","","9.5","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-29","2022","03","29","","15.1","","0.3","","7.7","","10.3","","0.0","","","","","","","M","","","22","","54",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-30","2022","03","30","","9.0","","4.4","","6.7","","11.3","","0.0","","","","","","","M","","","24","","45",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-03-31","2022","03","31","","10.8","","5.2","","8.0","","10.0","","0.0","","","","","","","M","","","25","","41",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-04-01","2022","04","01","","9.6","","3.8","","6.7","","11.3","","0.0","","","","","","","M","","","24","","48",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-04-02","2022","04","02","","9.8","","2.6","","6.2","","11.8","","0.0","","","","","","","M","","","26","","41",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-04-03","2022","04","03","","10.2","","3.2","","6.7","","11.3","","0.0","","","","","","","M","","","24","","47",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-04-04","2022","04","04","","11.5","","2.6","","7.1","","10.9","","0.0","","","","","","","M","","","25","","36",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-04-05","2022","04","05","","7.7","","2.8","","5.3","","12.7","","0.0","","","","","","","M","","","27","","40",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-04-06","2022","04","06","","7.2","","-0.7","","3.3","","14.7","","0.0","","","","","","","M","","","","","",""
"-126.60","52.39","BELLA COOLA A","1060848","2022-04-07","2022","04","07","","6.3","","2.1","","4.2","","13.8","","0.0","","","","","","","M","","","","","",""
