"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.60","49.46","PENTICTON A","1126146","2022-01-01","2022","01","01","","-8.5","","-16.0","","-12.3","","30.3","","0.0","","0.0","","0.0","T","0.0","T","10","","17","","60",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-02","2022","01","02","","-3.5","","-9.2","","-6.4","","24.4","","0.0","","0.0","","0.4","","0.4","","9","","19","","70",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-03","2022","01","03","","0.4","","-4.2","","-1.9","","19.9","","0.0","","0.0","","1.8","","1.4","","7","","19","","59",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-04","2022","01","04","","-1.8","","-4.8","","-3.3","","21.3","","0.0","","0.0","","0.6","","0.6","","6","","19","","42",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-05","2022","01","05","","-4.7","","-10.2","","-7.5","","25.5","","0.0","","0.0","","2.0","","2.0","","9","","2","","36",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-06","2022","01","06","","-3.5","","-11.8","","-7.7","","25.7","","0.0","","0.0","","14.4","","11.4","","19","","17","","44",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-07","2022","01","07","","2.4","","-3.7","","-0.7","","18.7","","0.0","","0.0","","0.2","","0.2","","20","","16","","54",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-08","2022","01","08","","-0.6","","-10.9","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","12","","16","","43",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-09","2022","01","09","","1.7","","-4.4","","-1.4","","19.4","","0.0","","0.0","","0.0","","0.0","","11","","16","","46",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-10","2022","01","10","","0.4","","-9.5","","-4.6","","22.6","","0.0","","0.0","","0.0","","0.0","","11","","16","","53",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-11","2022","01","11","","2.8","","-1.2","","0.8","","17.2","","0.0","","0.0","","0.2","","0.2","","8","","16","","56",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-12","2022","01","12","","3.9","","1.7","","2.8","","15.2","","0.0","","3.1","","0.0","","3.1","","6","","26","","48",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-13","2022","01","13","","6.2","","0.5","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","2","","20","","48",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-14","2022","01","14","","2.9","","1.0","","2.0","","16.0","","0.0","","0.4","","0.0","","0.4","","0","T","32","","49",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-15","2022","01","15","","4.1","","2.0","","3.1","","14.9","","0.0","","0.0","","0.0","","0.0","","1","","18","","46",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-16","2022","01","16","","2.6","","1.4","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","1","","17","","55",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-17","2022","01","17","","2.5","","0.5","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","","","16","","52",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-18","2022","01","18","","2.4","","-1.5","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","","","16","","47",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-19","2022","01","19","","3.2","","-0.2","","1.5","","16.5","","0.0","","2.7","","0.4","","3.1","","","","15","","52",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-20","2022","01","20","","4.6","","0.4","","2.5","","15.5","","0.0","","4.4","","0.4","","4.8","","","","17","","50",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-21","2022","01","21","","2.1","","-3.3","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","","","17","","32",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-22","2022","01","22","","0.2","","-4.4","","-2.1","","20.1","","0.0","","0.0","","0.0","","0.0","","","","22","","43",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-23","2022","01","23","","0.0","","-3.4","","-1.7","","19.7","","0.0","","0.0","","0.0","","0.0","","","","15","","34",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-24","2022","01","24","","2.2","","-3.7","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","","","34","","33",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-25","2022","01","25","","-0.9","","-3.6","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","","","26","","42",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-26","2022","01","26","","-0.9","","-2.5","","-1.7","","19.7","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2022-01-27","2022","01","27","","-0.9","","-2.7","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","","","17","","45",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-28","2022","01","28","","0.0","","-2.2","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","","","19","","41",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-29","2022","01","29","","0.1","","-1.9","","-0.9","","18.9","","0.0","","0.0","","0.0","","0.0","","","","18","","42",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-30","2022","01","30","","-0.1","","-2.1","","-1.1","","19.1","","0.0","","0.0","","0.0","T","0.0","T","","","18","","58",""
"-119.60","49.46","PENTICTON A","1126146","2022-01-31","2022","01","31","","1.3","","-2.3","","-0.5","","18.5","","0.0","","0.0","","0.2","","0.2","","0","T","19","","46",""
"-119.60","49.46","PENTICTON A","1126146","2022-02-01","2022","02","01","","2.9","","-5.5","","-1.3","","19.3","","0.0","","0.0","","0.0","T","0.0","T","","","35","","51",""
"-119.60","49.46","PENTICTON A","1126146","2022-02-02","2022","02","02","","-3.4","","-10.4","","-6.9","","24.9","","0.0","","0.0","","0.4","","0.4","","0","T","19","","51",""
"-119.60","49.46","PENTICTON A","1126146","2022-02-03","2022","02","03","","-0.9","","-5.7","","-3.3","","21.3","","0.0","","0.0","","0.0","T","0.0","T","","","18","","45",""
"-119.60","49.46","PENTICTON A","1126146","2022-02-04","2022","02","04","","1.7","","-2.8","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","","","17","","56",""
"-119.60","49.46","PENTICTON A","1126146","2022-02-05","2022","02","05","","1.8","","-1.6","","0.1","","17.9","","0.0","","0.0","","0.0","","0.0","","","","17","","54",""
